city,state,lat,lon
Delhi,Delhi,28.6139,77.2090
New Delhi,Delhi,28.6139,77.2090
Mumbai,Maharashtra,19.0760,72.8777
Thane,Maharashtra,19.2183,72.9781
Navi Mumbai,Maharashtra,19.0330,73.0297
Pune,Maharashtra,18.5204,73.8567
Nagpur,Maharashtra,21.1458,79.0882
Nashik,Maharashtra,19.9975,73.7898
Aurangabad,Maharashtra,19.8762,75.3433
Kolhapur,Maharashtra,16.7040,74.2433
Ahmedabad,Gujarat,23.0225,72.5714
Surat,Gujarat,21.1702,72.8311
Vadodara,Gujarat,22.3072,73.1812
Rajkot,Gujarat,22.3039,70.8022
Gandhinagar,Gujarat,23.2156,72.6369
Jaipur,Rajasthan,26.9124,75.7873
Jodhpur,Rajasthan,26.2389,73.0243
Udaipur,Rajasthan,24.5854,73.7125
Kota,Rajasthan,25.2138,75.8648
Bikaner,Rajasthan,28.0229,73.3119
Kolkata,West Bengal,22.5726,88.3639
Howrah,West Bengal,22.5958,88.2636
Asansol,West Bengal,23.6880,86.9661
Siliguri,West Bengal,26.7271,88.3953
Chennai,Tamil Nadu,13.0827,80.2707
Coimbatore,Tamil Nadu,11.0168,76.9558
Madurai,Tamil Nadu,9.9252,78.1198
Tiruchirappalli,Tamil Nadu,10.7905,78.7047
Salem,Tamil Nadu,11.6643,78.1460
Hyderabad,Telangana,17.3850,78.4867
Warangal,Telangana,18.0000,79.5882
Nizamabad,Telangana,18.6725,78.0941
Karimnagar,Telangana,18.4386,79.1288
Bengaluru,Karnataka,12.9716,77.5946
Mysuru,Karnataka,12.2958,76.6394
Hubballi,Karnataka,15.3647,75.1240
Mangaluru,Karnataka,12.9141,74.8560
Belagavi,Karnataka,15.8497,74.4977
Lucknow,Uttar Pradesh,26.8467,80.9462
Kanpur,Uttar Pradesh,26.4499,80.3319
Varanasi,Uttar Pradesh,25.3176,82.9739
Prayagraj,Uttar Pradesh,25.4358,81.8463
Ghaziabad,Uttar Pradesh,28.6692,77.4538
Noida,Uttar Pradesh,28.5355,77.3910
Agra,Uttar Pradesh,27.1767,78.0081
Meerut,Uttar Pradesh,28.9845,77.7064
Aligarh,Uttar Pradesh,27.8974,78.0880
Moradabad,Uttar Pradesh,28.8386,78.7733
Gorakhpur,Uttar Pradesh,26.7606,83.3732
Patna,Bihar,25.5941,85.1376
Gaya,Bihar,24.7955,84.9994
Bhagalpur,Bihar,25.2417,86.9856
Muzaffarpur,Bihar,26.1209,85.3647
Ranchi,Jharkhand,23.3441,85.3096
Jamshedpur,Jharkhand,22.8046,86.2029
Dhanbad,Jharkhand,23.7957,86.4304
Bokaro Steel City,Jharkhand,23.6693,86.1511
Bhopal,Madhya Pradesh,23.2599,77.4126
Indore,Madhya Pradesh,22.7196,75.8577
Gwalior,Madhya Pradesh,26.2183,78.1828
Jabalpur,Madhya Pradesh,23.1815,79.9864
Ujjain,Madhya Pradesh,23.1793,75.7849
Raipur,Chhattisgarh,21.2514,81.6296
Bhilai,Chhattisgarh,21.1938,81.3509
Bilaspur,Chhattisgarh,22.0797,82.1409
Kochi,Kerala,9.9312,76.2673
Thiruvananthapuram,Kerala,8.5241,76.9366
Kozhikode,Kerala,11.2588,75.7804
Kollam,Kerala,8.8932,76.6141
Amritsar,Punjab,31.6340,74.8723
Ludhiana,Punjab,30.9000,75.8573
Jalandhar,Punjab,31.3260,75.5762
Chandigarh,Chandigarh,30.7333,76.7794
Dehradun,Uttarakhand,30.3165,78.0322
Haridwar,Uttarakhand,29.9457,78.1642
Srinagar,Jammu and Kashmir,34.0837,74.7973
Jammu,Jammu and Kashmir,32.7266,74.8570
Guwahati,Assam,26.1445,91.7362
Shillong,Meghalaya,25.5788,91.8933
Agartala,Tripura,23.8315,91.2868
Imphal,Manipur,24.8170,93.9368
Aizawl,Mizoram,23.7271,92.7176
Kohima,Nagaland,25.6751,94.1086
Gangtok,Sikkim,27.3314,88.6138
Panaji,Goa,15.4909,73.8278
Puducherry,Puducherry,11.9416,79.8083
Port Blair,Andaman and Nicobar Islands,11.6234,92.7265

